first_authors;master_study_number;study_number;study_area;ID;study_title;study_date;incidence_YN;denominator;incidence_definition;incidence_diagnostics;case_numbers_vivax;case_numbers_falciparum;case_numbers_mixed;incidence_rate_vivax;incidence_rate_vivax_loCI;incidence_rate_vivax_upCI;incidence_rate_falciparum;incidence_rate_falciparum_loCI;incidence_rate_falciparum_upCI;incidence_rate_mixed;incidence_rate_mixed_loCI;incidence_rate_mixed_upCI;incidence_rate_all;incidence_rate_all_loCI;incidence_rate_all_upCI;mixed_what_done;unit_incidence_rate;date_start_incidence;sample_size_incidence_number_people;date_end_incidence;comments_incidence;prevalence_YN;prevalence_vivax_LM;prevalence_vivax_LM_loCI;prevalence_vivax_LM_upCI;prevalence_falciparum_LM;prevalence_falciparum_LM_loCI;prevalence_falciparum_LM_upCI;prevalence_mixed_LM;prevalence_mixed_LM_loCI;prevalence_mixed_LM_upCI;prevalence_total_LM;prevalence_total_LM_loCI;prevalence_total_LM_upCI;prevalence_vivax_PCR;prevalence_vivax_PCR_loCI;prevalence_vivax_PCR_upCI;prevalence_falciparum_PCR;prevalence_falciparum_PCR_loCI;prevalence_falciparum_PCR_upCI;prevalence_mixed_PCR;prevalence_mixed_PCR_loCI;prevalence_mixed_PCR_upCI;prevalence_total_PCR;prevalence_total_PCR_loCI;prevalence_total_PCR_upCI;prevalence_vivax_RDT;prevalence_vivax_RDT_loCI;prevalence_vivax_RDT_upCI;prevalence_falciparum_RDT;prevalence_falciparum_RDt_loCI;prevalence_falciparum_RDT_upCI;prevalence_mixed_RDT;prevalence_mixed_RDT_loCI;prevalence_mixed_RDT_upCI;prevalence_total_RDT;prevalence_total_RDT_loCI;prevalence_total_RDT_upCI;pr_numb_vivax_LM;pr_numb_falciparum_LM;pr_numb_mixed_LM;pr_numb_total_LM;pr_numb_vivax_PCR;pr_numb_falciparum_PCR;pr_numb_mixed_PCR;pr_numb_total_PCR;pr_what_done_mixed;prevalence_PCR_diagnostic_method;date_start_prevalence;date_end_prevalence;sample_size_prevalence;comments_prevalence;intervention_YN;mode_control;Intervention1;Intervention2;Intervention3;Intervention5;Intervention6;Intervention4;Intervention7;Intervention8;Intervention9;coverage1;coverage2;coverage3;coverage4;coverage6;coverage5;coverage7;coverage8;coverage9;implementation1_start;implementation1_end;implementation2_start;implementation2_end;implementation3_start;implementation3_end;implementation4_start;implementation4_end;implementation5_start;implementation6_start;implementation6_end;implementation5_end;implementation7_start;implementation7_end;implementation8_start;implementation8_end;implementation9_start;implementation9_end;implementation_dates_exact;implementation_dates_exact_comment;baselin_intervention;standard_of_care;relapse_pattern_mean_number;relapse_pattern_white;relapse_pattern_zone;relapse_pattern_mean_days;seasonality;season_survey_incidence;season_survey_prevalence;transmission;age_incidence;age_prevalence;cluster_trial_concern;cluster_trial_addressed;numb_cluster;data_available;comments;latitude;longitude;study_type;transmission_vivax;transmission_falciparum;trans_viv_int1;trans_viv_int2;trans_viv_int3;trans_viv_int4;trans_falc_int1;trans_falc_int2;trans_falc_int3;trans_falc_int4
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1208;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;22.00;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;13.11.2009;13.11.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1209;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;36.00;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;27.11.2009;27.11.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1210;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;30.00;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;11.12.2009;11.12.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1211;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;33.00;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;25.12.2009;25.12.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1212;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;20.00;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;22.01.2010;22.01.2010;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;4.237;4.498;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1213;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;26.00;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;19.02.2010;19.02.2010;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;4.237;4.498;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1214;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;27.00;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;19.03.2010;19.03.2010;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;4.237;4.498;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1215;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;22.00;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;16.04.2010;16.04.2010;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;4.237;4.498;high;;;;high;;;
Hofmann, Natalie E.;49;89;Papua New Guinea, East Sepik Province, Maprik district;1216;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;24.00;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;14.05.2010;14.05.2010;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and placebo (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;dry;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;4.237;4.498;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1217;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;50.00;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;11.09.2009;11.09.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;dry;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1218;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;1.00;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;02.10.2009;02.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1219;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;1.00;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;16.10.2009;16.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1220;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;5.00;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;30.10.2009;30.10.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1221;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;5.00;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;13.11.2009;13.11.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
Hofmann, Natalie E.;49;90;Papua New Guinea, East Sepik Province, Maprik district;1222;The complex relationship of exposure to new Plasmodium infections and incidence of clinical malaria Papua New Guinea;2017;FALSCH;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;WAHR;4.00;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;doesn't say (assume counted towards both Pv and Pf);;27.11.2009;27.11.2009;233;web plot digitizer;WAHR;drug;AL(over 3 days) and CQ (over 3 days 25mg/kg total dose) and PQ 20 days (no mention of it being done before);;;;;;;;;all of the children that were followed completed treatment (but other people in village were not covered);;;;;;;;;11.09.2009;02.10.2009;;;;;;;;;;;;;;;;;WAHR;pretty much, not exact exact but kinda around this time. Month is at least correct;pretty high coverage of LLIN;accoriding to ome-kaius in 2008 which is around that time: AL or amodiaquine and sulphadoxine-pyrimethamine. Primaquine not adapted (according to betuela2012 only formally done in 2010);;frequent;12;;0.2;NA;wet;;NA;5-10 year olds;yes, is in several villages;not sure, used GEE but not sure if only to account for repeated measure in individual, but dont have CI for prevalence anyway;5;WAHR;;-3.626562;143.053858;trial: no control though because compared one regimen with primaquine and one without;5.193;12.044;high;;;;high;;;
